,Width,Height
1320,201,250
1321,225,225
1322,200,252
1323,232,217
1324,201,251
1325,393,400
1326,236,236
1327,359,449
1328,228,221
1329,236,231
1330,206,244
1331,359,449
1332,642,361
1333,359,449
1334,225,225
1335,512,512
1336,225,225
1337,630,630
1338,225,225
1339,215,234
1340,236,290
1341,200,252
1342,300,168
1343,420,280
1344,300,168
1345,236,262
1346,236,269
1347,200,252
1348,468,444
1349,235,233
1350,208,217
1351,442,454
1352,630,630
1353,227,222
1354,206,244
1355,504,540
1356,300,168
1357,225,259
1358,194,259
1359,218,231
1360,356,474
1361,236,236
1362,630,630
1363,321,351
1364,208,242
1365,275,183
1366,215,234
1367,236,260
1368,234,218
1369,236,251
1370,225,225
1371,221,257
1372,233,210
1373,212,280
1374,236,280
1375,201,251
1376,300,168
1377,225,225
1378,442,442
1379,212,236
1380,642,361
1381,236,263
1382,236,257
1383,224,262
1384,236,236
1385,504,540
1386,800,693
1387,630,630
1388,630,630
1389,630,630
1390,630,630
1391,442,442
1392,630,630
1393,393,400
1394,355,452
1395,236,250
1396,442,442
1397,359,449
1398,236,270
1399,236,236
1400,208,217
1401,234,218
1402,236,251
1403,236,260
1404,236,236
1405,300,168
1406,220,275
1407,236,243
1408,236,269
1409,236,221
1410,236,236
1411,236,236
1412,235,257
1413,236,236
1414,216,202
1415,236,236
1416,235,227
1417,236,201
1418,236,236
1419,236,294
1420,226,213
1421,235,215
1422,550,664
1423,236,226
1424,236,366
1425,210,213
1426,233,210
1427,236,366
1428,236,216
1429,236,236
1430,235,216
1431,236,250
1432,225,225
1433,236,232
1434,233,228
1435,655,602
1436,447,251
1437,350,350
1438,233,218
1439,236,236
1440,236,236
1441,173,201
1442,236,269
1443,200,210
1444,236,236
1445,236,236
1446,236,269
1447,232,216
1448,236,223
1449,236,236
1450,236,236
1451,680,680
1452,236,236
1453,236,236
1454,236,220
1455,236,236
1456,600,450
1457,652,600
1458,926,649
1459,256,256
1460,655,602
1461,230,274
1462,225,225
1463,926,649
1464,500,500
1465,648,674
1466,1024,1024
1467,630,630
1468,227,222
1469,442,442
1470,1000,583
1471,630,630
1472,724,851
1473,626,575
1474,224,262
1475,296,320
1476,208,242
1477,300,168
1478,225,225
1479,512,512
1480,850,872
1481,203,248
1482,733,781
1483,225,225
1484,600,605
1485,229,280
1486,225,225
1487,728,725
1488,442,442
1489,850,745
1490,232,217
1491,227,300
1492,629,585
1493,201,244
1494,640,640
1495,640,640
1496,640,640
1497,640,640
1498,630,630
1499,640,640
1500,640,640
1501,640,640
1502,640,640
1503,640,640
1504,640,640
1505,640,640
1506,640,640
1507,640,640
1508,640,640
1509,640,640
1510,640,640
1511,640,640
1512,640,640
1513,236,223
1514,755,824
1515,640,640
1516,640,640
1517,640,640
1518,640,640
1519,640,640
1520,640,640
1521,640,640
1522,225,225
1523,640,640
1524,640,640
1525,640,640
1526,640,640
1527,640,640
1528,640,640
1529,640,640
1530,428,417
1531,640,640
1532,640,640
1533,640,640
1534,640,640
1535,640,640
1536,640,640
1537,640,640
1538,640,640
1539,640,640
1540,225,225
1541,640,640
1542,640,640
1543,640,640
1544,640,640
1545,640,640
1546,640,640
1547,640,640
1548,640,640
1549,640,640
1550,640,640
1551,640,640
1552,640,640
1553,640,640
1554,640,640
1555,640,640
1556,640,640
1557,640,640
1558,410,490
1559,256,256
1560,256,256
1561,256,256
1562,256,256
1563,256,256
1564,256,256
1565,256,256
1566,224,224
1567,256,256
1568,256,256
1569,256,256
1570,256,256
1571,256,256
1572,256,256
1573,256,256
1574,256,256
1575,256,256
1576,256,256
1577,256,256
1578,256,256
1579,256,256
1580,256,256
1581,225,225
1582,256,256
1583,256,256
1584,256,256
1585,256,256
1586,256,256
1587,256,256
1588,512,512
1589,224,224
1590,256,256
1591,256,256
1592,224,224
1593,256,256
1594,256,256
1595,256,256
1596,256,256
1597,256,256
1598,512,512
1599,512,512
1600,512,512
1601,512,512
1602,512,512
1603,512,512
1604,512,512
1605,512,512
1606,512,512
1607,512,512
1608,512,512
1609,512,512
1610,512,512
1611,512,512
1612,512,512
1613,512,512
1614,512,512
1615,512,512
1616,512,512
1617,512,512
1618,512,512
1619,512,512
1620,512,512
1621,512,512
1622,512,512
1623,512,512
1624,512,512
1625,512,512
1626,512,512
1627,512,512
1628,512,512
1629,512,512
1630,512,512
1631,512,512
1632,512,512
1633,512,512
1634,512,512
1635,512,512
1636,512,512
1637,512,512
1638,512,512
1639,512,512
1640,512,512
1641,512,512
1642,512,512
1643,512,512
1644,512,512
1645,512,512
1646,512,512
1647,512,512
1648,512,512
1649,512,512
1650,512,512
1651,512,512
1652,512,512
1653,512,512
1654,512,512
1655,512,512
1656,512,512
1657,512,512
1658,512,512
1659,512,512
1660,512,512
1661,512,512
1662,512,512
1663,512,512
1664,512,512
1665,512,512
1666,512,512
1667,512,512
1668,512,512
1669,512,512
1670,512,512
1671,512,512
1672,512,512
1673,512,512
1674,512,512
1675,512,512
1676,512,512
1677,512,512
1678,512,512
1679,512,512
1680,512,512
1681,512,512
1682,512,512
1683,512,512
1684,512,512
1685,512,512
1686,512,512
1687,512,512
1688,512,512
1689,512,512
1690,512,512
1691,512,512
1692,512,512
1693,512,512
1694,512,512
1695,512,512
1696,512,512
1697,512,512
1698,512,512
1699,512,512
1700,512,512
1701,512,512
1702,512,512
1703,512,512
1704,512,512
1705,512,512
1706,512,512
1707,512,512
1708,512,512
1709,512,512
1710,512,512
1711,512,512
1712,512,512
1713,512,512
1714,512,512
1715,512,512
1716,512,512
1717,512,512
1718,512,512
1719,512,512
1720,512,512
1721,512,512
1722,512,512
1723,512,512
1724,512,512
1725,512,512
1726,512,512
1727,512,512
1728,512,512
1729,512,512
1730,512,512
1731,512,512
1732,512,512
1733,512,512
1734,512,512
1735,512,512
1736,512,512
1737,512,512
1738,512,512
1739,512,512
1740,512,512
1741,512,512
1742,512,512
1743,512,512
1744,512,512
1745,512,512
1746,512,512
1747,512,512
1748,512,512
1749,512,512
1750,512,512
1751,512,512
1752,512,512
1753,512,512
1754,512,512
1755,512,512
1756,512,512
1757,512,512
1758,512,512
1759,512,512
1760,512,512
1761,512,512
1762,512,512
1763,512,512
1764,512,512
1765,512,512
1766,512,512
1767,512,512
1768,512,512
1769,512,512
1770,512,512
1771,512,512
1772,512,512
1773,512,512
1774,512,512
1775,512,512
1776,512,512
1777,512,512
1778,512,512
1779,512,512
1780,512,512
1781,512,512
1782,512,512
1783,512,512
1784,512,512
1785,512,512
1786,512,512
1787,512,512
1788,512,512
1789,512,512
1790,512,512
1791,512,512
1792,512,512
1793,512,512
1794,512,512
1795,512,512
1796,512,512
1797,512,512
1798,512,512
1799,512,512
1800,512,512
1801,512,512
1802,512,512
1803,512,512
1804,512,512
1805,512,512
1806,512,512
1807,512,512
1808,512,512
1809,512,512
1810,512,512
1811,512,512
1812,512,512
1813,512,512
1814,512,512
1815,512,512
1816,512,512
1817,512,512
1818,512,512
1819,512,512
1820,512,512
1821,512,512
1822,512,512
1823,512,512
1824,512,512
1825,512,512
1826,512,512
1827,512,512
1828,512,512
1829,512,512
1830,512,512
1831,512,512
1832,512,512
1833,512,512
1834,512,512
1835,512,512
1836,512,512
1837,512,512
1838,512,512
1839,512,512
1840,512,512
1841,512,512
1842,512,512
1843,512,512
1844,512,512
1845,512,512
1846,512,512
1847,512,512
1848,512,512
1849,512,512
1850,512,512
1851,512,512
1852,512,512
1853,512,512
1854,512,512
1855,512,512
1856,512,512
1857,512,512
1858,512,512
1859,512,512
1860,512,512
1861,512,512
1862,512,512
1863,512,512
1864,512,512
